Timestamp,Did you graduate from a highschool under the Prince George's County Public Schools system?,What year do you expect to receive your bachelors (if in combined BS/MS programs when did you finish your undergrad requirements)?,What year did you graduate from high school?,How many summer semesters have you taken?,What was your high school GPA?,What is your first semester college GPA?,"How many ""pre-requisite classes"" did you have to take? e.g. (Math115 - Precalculus to take Math140 - Calculus 1)",How many times have you switched majors?,Answer whether you agree/disagree with the following statements [I wasn't sure what I will do after high school],Answer whether you agree/disagree with the following statements [I felt uninterested in my high school coursework],Answer whether you agree/disagree with the following statements [My high school informed me about the military career path],Answer whether you agree/disagree with the following statements [My high school informed me about vocational career paths],Answer whether you agree/disagree with the following statements [My high school informed me about IT certifications]
4/24/2019 23:28:18,Yes,Spring 2019,2015,3,3.5,3.8,3,0,Disagree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:33:04,No,Spring 2020,2017,1,3.76,3.947,0,0,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:34:46,No,Spring 2020,2016,4,4.778,2.987,0,1,Agree,Agree,Agree,Agree,Agree
4/24/2019 23:35:23,No,Spring 2020,2015,0,3.7,3.9,3,0,Agree,Agree,Disagree,Agree,Agree
4/24/2019 23:37:05,No,Spring 2020,2016,0,3.75,3.75,2,1,Agree,Agree,Disagree,Agree,Disagree
4/24/2019 23:40:39,No,Fall 2021,2016,2,3.8,3.6,12,1,Agree,Disagree,Disagree,Agree,Disagree
4/24/2019 23:43:26,Yes,Fall 2020,2016,2,3.8,2.9,2,2,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:44:20,Yes,Fall 2022,2018,1,3.8,3,1,2,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:44:33,No,Fall 2020,2017,0,4.2,3.85,0,1,Disagree,Agree,Agree,Agree,Agree
4/24/2019 23:47:15,Yes,Fall 2020,2015,2,3.4,2.5,1,3,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:48:14,Yes,Spring 2021,2015,3,3.4,3.2,3,2,Agree,Agree,Agree,Disagree,Disagree
4/24/2019 23:49:04,Yes,Fall 2022,2014,0,3.6,3.5,6,0,Agree,Agree,Agree,Agree,Agree
4/24/2019 23:49:25,Yes,Spring 2021,2016,0,4,3,1,1,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:50:26,Yes,Fall 2019,2015,3,3.4,2.9,3,1,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:51:19,No,Spring 2019,2015,3,4,3,1,0,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:52:31,Yes,Spring 2020,2015,2,3.8,2.8,4,1,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:53:24,Yes,Spring 2021,2017,0,4,2,2,2,Disagree,Disagree,Agree,Agree,Disagree
4/24/2019 23:54:08,Yes,Spring 2021,2016,1,3.8,2.75,3,3,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:54:25,Yes,Fall 2024,2014,0,3.5,4,5,0,Agree,Disagree,Agree,Agree,Agree
4/24/2019 23:55:19,No,Fall 2020,2016,1,4,3.3,0,2,Agree,Disagree,Disagree,Disagree,Disagree
4/24/2019 23:55:57,Yes,Spring 2020,2017,0,3.5,4,3,0,Disagree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:56:19,No,Spring 2022,2017,2,3.5,2.9,1,0,Disagree,Disagree,Disagree,Disagree,Disagree
4/24/2019 23:57:57,No,Spring 2021,2015,3,4,3,5,3,Agree,Agree,Disagree,Disagree,Disagree
4/24/2019 23:59:56,Yes,Spring 2020,2017,0,4.2,4,10,0,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:00:23,No,Fall 2020,2016,2,4,3,4,1,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:01:11,No,Spring 2021,2016,1,4,3.5,3,2,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:02:25,No,Fall 2020,2016,2,3.8,2.8,3,2,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:02:51,No,Spring 2020,2016,1,3.4,3.3,5,0,Disagree,Agree,Agree,Agree,Disagree
4/25/2019 0:03:06,No,Spring 2021,2017,3,4,2.8,4,0,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:03:54,No,Spring 2021,2016,2,3.8,2.9,2,0,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:04:51,No,Spring 2019,2015,0,4,3.9,0,0,Disagree,Disagree,Agree,Agree,Agree
4/25/2019 0:05:33,No,Spring 2019,2015,0,4,3.8,0,0,Disagree,Disagree,Agree,Disagree,Disagree
4/25/2019 0:06:19,No,Spring 2019,2015,1,3.5,4,0,0,Disagree,Disagree,Agree,Agree,Agree
4/25/2019 0:06:49,No,Spring 2019,2015,1,4,4,1,1,Disagree,Disagree,Agree,Agree,Agree
4/25/2019 0:07:15,No,Spring 2019,2015,0,4,4,0,0,Disagree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:07:59,No,Fall 2019,2015,0,4,3.9,0,0,Disagree,Disagree,Disagree,Disagree,Disagree
4/25/2019 0:08:52,No,Fall 2020,2016,1,4,4,0,0,Disagree,Disagree,Agree,Agree,Agree
4/25/2019 0:09:30,No,Spring 2020,2016,1,4,3.8,0,0,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:09:55,Yes,Spring 2019,2017,1,3.9,3.8,0,0,Disagree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:10:18,Yes,Spring 2020,2015,2,3.6,3,6,2,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:10:57,Yes,Spring 2020,2015,3,4.1,2.9,4,1,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:12:32,Yes,Spring 2021,2016,4,4.1,2.8,6,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:13:38,Yes,Fall 2020,2016,1,4,2.9,5,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:14:15,Yes,Spring 2021,2016,1,4,3,5,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:15:07,Yes,Spring 2021,2016,3,4,2.6,4,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:16:09,Yes,Spring 2021,2016,4,4.3,2.5,8,4,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:18:14,Yes,Spring 2020,2015,4,3.8,3,3,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:19:07,No,Spring 2020,2015,3,3.5,2.5,4,4,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:19:56,Yes,Spring 2021,2016,2,3.5,2.5,5,3,Agree,Agree,Disagree,Disagree,Disagree
4/25/2019 0:20:48,Yes,Fall 2020,2016,2,3.4,2.8,4,4,Agree,Agree,Disagree,Disagree,Disagree